row_number,date,facebook_ad_campaign,facebook_ad_views,facebook_ad_clicks,facebook_ad_conversions,facebook_cost_per_ad,facebook_ctr,facebook_conversion_rate,facebook_cost_per_click,adword_ad_campaign,adword_ad_views,adword_ad_clicks,adword_ad_conversions,adword_cost_per_ad,adword_ctr,adword_conversion_rate,adword_cost_per_click
41,2024-11-03,FACEBOOK AD,2623,45,19,181,1.7155928326,42.2222222222,4.0222222222,ADWORD AD,3883,50,9,60,1.2876641772,18,1.2
42,2024-07-19,FACEBOOK AD,2908,20,11,195,0.6877579092,55,9.75,ADWORD AD,4381,45,5,80,1.0271627482,11.1111111111,1.7777777778
43,2023-09-13,FACEBOOK AD,1452,31,5,195,2.1349862259,16.1290322581,6.2903225806,ADWORD AD,3790,59,6,123,1.5567282322,10.1694915254,2.0847457627
44,2024-03-16,FACEBOOK AD,2844,42,18,80,1.4767932489,42.8571428571,1.9047619048,ADWORD AD,4442,72,9,143,1.6208914903,12.5,1.9861111111
45,2022-06-24,FACEBOOK AD,1915,26,8,181,1.3577023499,30.7692307692,6.9615384615,ADWORD AD,3901,46,9,170,1.1791848244,19.5652173913,3.6956521739
46,2022-01-23,FACEBOOK AD,1574,51,12,221,3.2401524778,23.5294117647,4.3333333333,ADWORD AD,3798,77,7,160,2.0273828331,9.0909090909,2.0779220779
47,2024-01-16,FACEBOOK AD,1653,55,14,212,3.3272837266,25.4545454545,3.8545454545,ADWORD AD,5654,63,6,114,1.1142553944,9.5238095238,1.8095238095
48,2024-05-16,FACEBOOK AD,1788,44,17,212,2.4608501119,38.6363636364,4.8181818182,ADWORD AD,4514,83,3,71,1.8387239699,3.6144578313,0.8554216867
49,2024-04-13,FACEBOOK AD,2689,71,17,216,2.6403867609,23.9436619718,3.0422535211,ADWORD AD,3954,87,8,77,2.2003034901,9.1954022989,0.8850574713
50,2023-09-26,FACEBOOK AD,2911,16,13,180,0.5496392992,81.25,11.25,ADWORD AD,4283,89,9,155,2.0779827224,10.1123595506,1.7415730337
51,2024-11-14,FACEBOOK AD,1515,71,7,194,4.6864686469,9.8591549296,2.7323943662,ADWORD AD,3789,80,3,199,2.111375033,3.75,2.4875
52,2024-03-26,FACEBOOK AD,1100,48,8,146,4.3636363636,16.6666666667,3.0416666667,ADWORD AD,5112,72,5,79,1.4084507042,6.9444444444,1.0972222222
53,2023-11-27,FACEBOOK AD,2187,48,16,230,2.19478738,33.3333333333,4.7916666667,ADWORD AD,4654,48,6,95,1.0313708638,12.5,1.9791666667
54,2023-07-20,FACEBOOK AD,1626,39,12,225,2.3985239852,30.7692307692,5.7692307692,ADWORD AD,3898,76,3,147,1.949717804,3.9473684211,1.9342105263
55,2022-11-13,FACEBOOK AD,2621,28,11,213,1.0682945441,39.2857142857,7.6071428571,ADWORD AD,5144,79,4,190,1.5357698289,5.0632911392,2.4050632911
56,2022-09-17,FACEBOOK AD,2815,57,9,237,2.0248667851,15.7894736842,4.1578947368,ADWORD AD,5014,59,9,193,1.1767052254,15.2542372881,3.2711864407
57,2024-10-08,FACEBOOK AD,1712,59,13,111,3.4462616822,22.0338983051,1.8813559322,ADWORD AD,5280,85,7,149,1.6098484848,8.2352941176,1.7529411765
58,2023-07-29,FACEBOOK AD,1522,37,14,240,2.4310118265,37.8378378378,6.4864864865,ADWORD AD,4185,40,8,103,0.9557945042,20,2.575
59,2024-01-03,FACEBOOK AD,1104,18,16,65,1.6304347826,88.8888888889,3.6111111111,ADWORD AD,5241,63,7,154,1.2020606754,11.1111111111,2.4444444444
60,2023-11-26,FACEBOOK AD,1431,33,8,193,2.3060796646,24.2424242424,5.8484848485,ADWORD AD,4940,51,9,131,1.032388664,17.6470588235,2.568627451
61,2023-01-03,FACEBOOK AD,1187,40,19,110,3.3698399326,47.5,2.75,ADWORD AD,5313,35,5,130,0.6587615283,14.2857142857,3.7142857143
62,2023-03-14,FACEBOOK AD,1522,71,11,231,4.6649145861,15.4929577465,3.2535211268,ADWORD AD,4920,68,4,125,1.3821138211,5.8823529412,1.8382352941
63,2023-09-10,FACEBOOK AD,1061,20,9,122,1.8850141376,45,6.1,ADWORD AD,3927,34,9,184,0.8658008658,26.4705882353,5.4117647059
64,2023-09-08,FACEBOOK AD,1437,25,5,249,1.7397355602,20,9.96,ADWORD AD,4472,57,6,56,1.2745974955,10.5263157895,0.9824561404
65,2023-12-14,FACEBOOK AD,2153,37,16,79,1.7185322805,43.2432432432,2.1351351351,ADWORD AD,5292,50,9,149,0.9448223734,18,2.98
66,2023-03-28,FACEBOOK AD,1913,62,19,196,3.2409827496,30.6451612903,3.1612903226,ADWORD AD,4302,57,5,131,1.3249651325,8.7719298246,2.298245614
67,2022-11-10,FACEBOOK AD,2538,37,5,103,1.4578408195,13.5135135135,2.7837837838,ADWORD AD,4522,78,5,139,1.7249004865,6.4102564103,1.7820512821
68,2024-08-08,FACEBOOK AD,2497,49,15,214,1.9623548258,30.612244898,4.3673469388,ADWORD AD,5581,45,9,84,0.8063071134,20,1.8666666667
69,2022-07-12,FACEBOOK AD,1945,50,8,238,2.5706940874,16,4.76,ADWORD AD,5363,49,3,78,0.9136677233,6.1224489796,1.5918367347
70,2024-12-10,FACEBOOK AD,2331,45,19,158,1.9305019305,42.2222222222,3.5111111111,ADWORD AD,5659,89,9,140,1.5727160276,10.1123595506,1.5730337079
71,2022-04-08,FACEBOOK AD,2098,20,17,132,0.9532888465,85,6.6,ADWORD AD,5313,56,7,85,1.0540184453,12.5,1.5178571429
72,2023-02-01,FACEBOOK AD,2600,39,9,116,1.5,23.0769230769,2.9743589744,ADWORD AD,4185,53,9,117,1.266427718,16.9811320755,2.2075471698
73,2023-12-01,FACEBOOK AD,2446,47,12,169,1.9215044971,25.5319148936,3.5957446809,ADWORD AD,4531,56,4,122,1.2359302582,7.1428571429,2.1785714286
74,2024-02-24,FACEBOOK AD,1446,69,17,146,4.7717842324,24.6376811594,2.115942029,ADWORD AD,3815,40,6,140,1.0484927916,15,3.5
75,2023-05-14,FACEBOOK AD,2056,21,17,87,1.0214007782,80.9523809524,4.1428571429,ADWORD AD,4030,37,4,65,0.9181141439,10.8108108108,1.7567567568
76,2024-03-05,FACEBOOK AD,1948,57,8,114,2.9260780287,14.0350877193,2,ADWORD AD,4792,88,4,84,1.83639399,4.5454545455,0.9545454545
77,2024-05-20,FACEBOOK AD,1272,59,11,136,4.6383647799,18.6440677966,2.3050847458,ADWORD AD,4180,72,8,144,1.7224880383,11.1111111111,2
78,2023-03-15,FACEBOOK AD,2529,55,18,103,2.1747726374,32.7272727273,1.8727272727,ADWORD AD,3888,39,8,198,1.0030864198,20.5128205128,5.0769230769
79,2023-07-25,FACEBOOK AD,1810,61,13,240,3.3701657459,21.3114754098,3.9344262295,ADWORD AD,4200,74,9,196,1.7619047619,12.1621621622,2.6486486486
80,2023-06-16,FACEBOOK AD,1464,31,10,221,2.1174863388,32.2580645161,7.1290322581,ADWORD AD,5002,42,5,171,0.8396641343,11.9047619048,4.0714285714
81,2022-03-12,FACEBOOK AD,1679,64,15,186,3.8117927338,23.4375,2.90625,ADWORD AD,4770,48,9,175,1.0062893082,18.75,3.6458333333
82,2022-09-11,FACEBOOK AD,1162,20,8,83,1.7211703959,40,4.15,ADWORD AD,4276,77,4,99,1.800748363,5.1948051948,1.2857142857
83,2023-01-25,FACEBOOK AD,2004,54,8,244,2.6946107784,14.8148148148,4.5185185185,ADWORD AD,5581,76,5,117,1.3617631249,6.5789473684,1.5394736842
84,2022-08-09,FACEBOOK AD,2484,33,13,77,1.3285024155,39.3939393939,2.3333333333,ADWORD AD,3905,69,8,55,1.7669654289,11.5942028986,0.7971014493
85,2023-01-24,FACEBOOK AD,1075,25,11,166,2.3255813953,44,6.64,ADWORD AD,5568,77,5,51,1.3829022989,6.4935064935,0.6623376623
86,2024-05-04,FACEBOOK AD,3066,38,6,197,1.2393998695,15.7894736842,5.1842105263,ADWORD AD,5503,41,4,91,0.7450481556,9.756097561,2.2195121951
87,2024-11-07,FACEBOOK AD,2167,41,9,69,1.8920166128,21.9512195122,1.6829268293,ADWORD AD,4785,84,7,122,1.7554858934,8.3333333333,1.4523809524
88,2022-06-30,FACEBOOK AD,2746,32,10,204,1.1653313911,31.25,6.375,ADWORD AD,4057,61,9,173,1.5035740695,14.7540983607,2.8360655738
89,2024-11-21,FACEBOOK AD,3231,29,5,89,0.8975549366,17.2413793103,3.0689655172,ADWORD AD,4462,37,4,133,0.829224563,10.8108108108,3.5945945946
90,2023-01-30,FACEBOOK AD,2569,30,7,233,1.1677695601,23.3333333333,7.7666666667,ADWORD AD,4882,84,8,56,1.7206063089,9.5238095238,0.6666666667
91,2023-06-05,FACEBOOK AD,2406,66,12,85,2.7431421446,18.1818181818,1.2878787879,ADWORD AD,5643,41,3,121,0.7265638845,7.3170731707,2.9512195122
92,2023-10-13,FACEBOOK AD,1708,28,19,163,1.6393442623,67.8571428571,5.8214285714,ADWORD AD,5261,36,6,147,0.684280555,16.6666666667,4.0833333333
93,2024-05-26,FACEBOOK AD,2781,22,19,188,0.7910823445,86.3636363636,8.5454545455,ADWORD AD,5195,32,6,156,0.6159769009,18.75,4.875
94,2022-10-24,FACEBOOK AD,3024,68,10,79,2.2486772487,14.7058823529,1.1617647059,ADWORD AD,4326,86,8,74,1.9879796579,9.3023255814,0.8604651163
95,2023-09-22,FACEBOOK AD,1565,64,7,154,4.089456869,10.9375,2.40625,ADWORD AD,4626,88,6,168,1.9022913965,6.8181818182,1.9090909091
96,2023-10-14,FACEBOOK AD,2191,30,12,244,1.369237791,40,8.1333333333,ADWORD AD,5501,36,5,110,0.6544264679,13.8888888889,3.0555555556
97,2023-10-04,FACEBOOK AD,2895,62,16,239,2.1416234888,25.8064516129,3.8548387097,ADWORD AD,4317,74,4,192,1.7141533472,5.4054054054,2.5945945946
98,2024-09-25,FACEBOOK AD,2060,63,12,218,3.0582524272,19.0476190476,3.4603174603,ADWORD AD,5311,74,9,173,1.3933345886,12.1621621622,2.3378378378
99,2023-09-06,FACEBOOK AD,1446,65,15,136,4.4951590595,23.0769230769,2.0923076923,ADWORD AD,4383,83,9,179,1.8936801278,10.843373494,2.156626506
100,2024-02-20,FACEBOOK AD,2176,31,19,174,1.4246323529,61.2903225806,5.6129032258,ADWORD AD,4062,71,6,94,1.7479074348,8.4507042254,1.323943662
101,2022-07-26,FACEBOOK AD,2150,26,12,159,1.2093023256,46.1538461538,6.1153846154,ADWORD AD,4060,50,7,105,1.2315270936,14,2.1
102,2024-11-25,FACEBOOK AD,2642,54,17,131,2.0439061317,31.4814814815,2.4259259259,ADWORD AD,3828,40,4,189,1.0449320794,10,4.725
103,2024-04-01,FACEBOOK AD,2829,37,18,227,1.307882644,48.6486486486,6.1351351351,ADWORD AD,5462,54,9,84,0.9886488466,16.6666666667,1.5555555556
104,2023-03-25,FACEBOOK AD,3020,19,15,188,0.6291390728,78.9473684211,9.8947368421,ADWORD AD,4101,67,6,197,1.6337478664,8.9552238806,2.9402985075
105,2022-03-01,FACEBOOK AD,1701,55,7,113,3.2333921223,12.7272727273,2.0545454545,ADWORD AD,4624,45,9,76,0.973183391,20,1.6888888889
106,2023-08-05,FACEBOOK AD,1945,55,5,202,2.8277634961,9.0909090909,3.6727272727,ADWORD AD,3970,85,9,126,2.1410579345,10.5882352941,1.4823529412
107,2023-02-22,FACEBOOK AD,2646,34,18,166,1.2849584278,52.9411764706,4.8823529412,ADWORD AD,5478,82,7,107,1.4968966776,8.5365853659,1.3048780488
108,2023-07-25,FACEBOOK AD,3170,22,17,211,0.6940063091,77.2727272727,9.5909090909,ADWORD AD,5688,71,4,65,1.2482419128,5.6338028169,0.9154929577
109,2023-11-24,FACEBOOK AD,2792,37,16,205,1.3252148997,43.2432432432,5.5405405405,ADWORD AD,5590,35,4,123,0.626118068,11.4285714286,3.5142857143
110,2022-03-29,FACEBOOK AD,2174,63,15,188,2.8978840846,23.8095238095,2.9841269841,ADWORD AD,3723,68,5,191,1.8264840183,7.3529411765,2.8088235294
111,2023-11-09,FACEBOOK AD,2336,32,9,159,1.3698630137,28.125,4.96875,ADWORD AD,5180,77,8,155,1.4864864865,10.3896103896,2.012987013
112,2024-04-10,FACEBOOK AD,2660,38,14,184,1.4285714286,36.8421052632,4.8421052632,ADWORD AD,4626,61,4,54,1.3186338089,6.5573770492,0.8852459016
113,2023-01-04,FACEBOOK AD,2040,16,9,148,0.7843137255,56.25,9.25,ADWORD AD,5191,40,7,106,0.7705644385,17.5,2.65
114,2024-07-21,FACEBOOK AD,1189,24,17,123,2.0185029437,70.8333333333,5.125,ADWORD AD,5628,36,7,129,0.6396588486,19.4444444444,3.5833333333
115,2023-02-06,FACEBOOK AD,2447,66,9,114,2.6971802207,13.6363636364,1.7272727273,ADWORD AD,4276,64,4,110,1.4967259121,6.25,1.71875
116,2024-12-04,FACEBOOK AD,1566,54,7,246,3.4482758621,12.962962963,4.5555555556,ADWORD AD,4190,83,9,190,1.9809069212,10.843373494,2.2891566265
117,2024-02-28,FACEBOOK AD,1884,35,16,158,1.8577494692,45.7142857143,4.5142857143,ADWORD AD,4433,36,8,150,0.8120911347,22.2222222222,4.1666666667
118,2024-12-20,FACEBOOK AD,1279,59,19,171,4.6129788898,32.2033898305,2.8983050847,ADWORD AD,4877,66,6,65,1.3532909576,9.0909090909,0.9848484848
119,2024-07-06,FACEBOOK AD,2603,62,10,143,2.3818670765,16.1290322581,2.3064516129,ADWORD AD,4889,72,6,106,1.4726938024,8.3333333333,1.4722222222
120,2024-02-19,FACEBOOK AD,2336,23,5,87,0.9845890411,21.7391304348,3.7826086957,ADWORD AD,5060,43,7,65,0.8498023715,16.2790697674,1.511627907
121,2024-12-05,FACEBOOK AD,1876,42,10,161,2.2388059701,23.8095238095,3.8333333333,ADWORD AD,5750,61,6,57,1.0608695652,9.8360655738,0.9344262295
122,2024-03-26,FACEBOOK AD,1926,70,5,102,3.6344755971,7.1428571429,1.4571428571,ADWORD AD,5378,63,6,67,1.1714391967,9.5238095238,1.0634920635
123,2024-11-24,FACEBOOK AD,1055,28,19,216,2.654028436,67.8571428571,7.7142857143,ADWORD AD,5437,74,4,142,1.3610446938,5.4054054054,1.9189189189
124,2024-10-16,FACEBOOK AD,3108,41,7,242,1.3191763192,17.0731707317,5.9024390244,ADWORD AD,4964,85,5,98,1.7123287671,5.8823529412,1.1529411765
125,2024-01-18,FACEBOOK AD,1195,52,10,177,4.3514644351,19.2307692308,3.4038461538,ADWORD AD,5323,59,8,164,1.1083975202,13.5593220339,2.7796610169
126,2024-01-02,FACEBOOK AD,2398,56,17,69,2.3352793995,30.3571428571,1.2321428571,ADWORD AD,4485,55,6,83,1.226309922,10.9090909091,1.5090909091
127,2024-03-15,FACEBOOK AD,1484,67,11,99,4.5148247978,16.4179104478,1.4776119403,ADWORD AD,4259,59,3,77,1.385301714,5.0847457627,1.3050847458
128,2023-10-03,FACEBOOK AD,1544,48,9,149,3.1088082902,18.75,3.1041666667,ADWORD AD,3803,83,4,117,2.1824875099,4.8192771084,1.4096385542
129,2024-09-27,FACEBOOK AD,1661,51,6,68,3.0704394943,11.7647058824,1.3333333333,ADWORD AD,5230,40,5,118,0.7648183556,12.5,2.95
130,2023-02-17,FACEBOOK AD,2965,73,8,211,2.4620573356,10.9589041096,2.8904109589,ADWORD AD,5559,85,6,194,1.5290519878,7.0588235294,2.2823529412
131,2024-08-31,FACEBOOK AD,1777,43,11,128,2.4198086663,25.5813953488,2.976744186,ADWORD AD,4322,40,8,58,0.9254974549,20,1.45
132,2023-06-16,FACEBOOK AD,3230,35,11,89,1.0835913313,31.4285714286,2.5428571429,ADWORD AD,4326,81,5,158,1.8723994452,6.1728395062,1.950617284
133,2023-10-20,FACEBOOK AD,3057,48,13,158,1.5701668302,27.0833333333,3.2916666667,ADWORD AD,4602,83,4,129,1.803563668,4.8192771084,1.5542168675
134,2024-06-19,FACEBOOK AD,1759,66,5,107,3.7521318931,7.5757575758,1.6212121212,ADWORD AD,4435,64,6,74,1.4430665163,9.375,1.15625
135,2022-09-24,FACEBOOK AD,1704,38,17,157,2.2300469484,44.7368421053,4.1315789474,ADWORD AD,5039,71,5,187,1.4090097242,7.0422535211,2.6338028169
136,2023-04-26,FACEBOOK AD,2979,58,7,135,1.9469620678,12.0689655172,2.3275862069,ADWORD AD,3910,56,4,140,1.4322250639,7.1428571429,2.5
137,2022-05-27,FACEBOOK AD,1215,61,12,176,5.0205761317,19.6721311475,2.8852459016,ADWORD AD,5326,58,6,186,1.0889973714,10.3448275862,3.2068965517
138,2023-06-13,FACEBOOK AD,2257,20,19,179,0.8861320337,95,8.95,ADWORD AD,4759,33,4,70,0.693422988,12.1212121212,2.1212121212
139,2023-10-30,FACEBOOK AD,2007,21,13,180,1.0463378176,61.9047619048,8.5714285714,ADWORD AD,4016,46,7,180,1.1454183267,15.2173913043,3.9130434783
140,2023-07-31,FACEBOOK AD,2385,35,12,203,1.4675052411,34.2857142857,5.8,ADWORD AD,5644,80,4,128,1.4174344437,5,1.6
141,2023-08-29,FACEBOOK AD,2256,39,7,229,1.7287234043,17.9487179487,5.8717948718,ADWORD AD,3796,61,3,198,1.6069546891,4.9180327869,3.2459016393
142,2022-06-17,FACEBOOK AD,1967,19,7,140,0.9659379766,36.8421052632,7.3684210526,ADWORD AD,4958,40,3,99,0.8067769262,7.5,2.475
143,2024-07-13,FACEBOOK AD,1358,58,10,117,4.2709867452,17.2413793103,2.0172413793,ADWORD AD,4104,45,3,61,1.0964912281,6.6666666667,1.3555555556
144,2024-03-08,FACEBOOK AD,1644,61,12,211,3.7104622871,19.6721311475,3.4590163934,ADWORD AD,4317,34,4,65,0.7875839703,11.7647058824,1.9117647059
145,2023-03-18,FACEBOOK AD,2779,41,5,91,1.4753508456,12.1951219512,2.2195121951,ADWORD AD,4388,65,7,113,1.4813126709,10.7692307692,1.7384615385
146,2023-12-31,FACEBOOK AD,1887,71,16,95,3.7625861155,22.5352112676,1.338028169,ADWORD AD,4148,63,8,97,1.518804243,12.6984126984,1.5396825397
147,2023-12-02,FACEBOOK AD,2697,46,13,227,1.7055988135,28.2608695652,4.9347826087,ADWORD AD,5220,65,4,102,1.245210728,6.1538461538,1.5692307692
148,2023-07-27,FACEBOOK AD,2982,72,18,183,2.4144869215,25,2.5416666667,ADWORD AD,5425,51,7,86,0.9400921659,13.7254901961,1.6862745098
149,2024-07-26,FACEBOOK AD,1141,25,7,118,2.1910604733,28,4.72,ADWORD AD,5140,84,4,190,1.6342412451,4.7619047619,2.2619047619
150,2022-02-14,FACEBOOK AD,1923,28,6,183,1.4560582423,21.4285714286,6.5357142857,ADWORD AD,4960,69,9,157,1.3911290323,13.0434782609,2.2753623188
151,2022-11-10,FACEBOOK AD,1058,48,19,129,4.5368620038,39.5833333333,2.6875,ADWORD AD,4779,59,6,61,1.2345679012,10.1694915254,1.0338983051
152,2023-01-15,FACEBOOK AD,1217,37,9,149,3.0402629417,24.3243243243,4.027027027,ADWORD AD,4965,45,4,107,0.9063444109,8.8888888889,2.3777777778
153,2023-04-26,FACEBOOK AD,1594,53,12,219,3.3249686324,22.641509434,4.1320754717,ADWORD AD,3909,54,6,161,1.3814274751,11.1111111111,2.9814814815
154,2022-11-15,FACEBOOK AD,2351,18,8,117,0.7656316461,44.4444444444,6.5,ADWORD AD,3722,47,3,125,1.2627619559,6.3829787234,2.6595744681
155,2022-10-05,FACEBOOK AD,2630,43,13,71,1.6349809886,30.2325581395,1.6511627907,ADWORD AD,5691,34,7,117,0.5974345458,20.5882352941,3.4411764706
156,2022-05-20,FACEBOOK AD,1601,38,19,61,2.3735165522,50,1.6052631579,ADWORD AD,3960,67,3,162,1.6919191919,4.4776119403,2.4179104478
157,2023-10-20,FACEBOOK AD,2829,69,19,229,2.4390243902,27.5362318841,3.3188405797,ADWORD AD,4950,74,8,57,1.4949494949,10.8108108108,0.7702702703
158,2024-07-15,FACEBOOK AD,2832,42,11,218,1.4830508475,26.1904761905,5.1904761905,ADWORD AD,5004,45,6,133,0.8992805755,13.3333333333,2.9555555556
159,2024-06-15,FACEBOOK AD,3247,59,16,134,1.8170619033,27.1186440678,2.2711864407,ADWORD AD,5336,84,9,140,1.5742128936,10.7142857143,1.6666666667
160,2023-08-22,FACEBOOK AD,2495,42,13,189,1.6833667335,30.9523809524,4.5,ADWORD AD,5074,39,6,86,0.7686243595,15.3846153846,2.2051282051
161,2022-06-15,FACEBOOK AD,1817,33,8,201,1.8161805173,24.2424242424,6.0909090909,ADWORD AD,5218,44,4,140,0.8432349559,9.0909090909,3.1818181818
